Chiffres clés     -     Revenus - Niveaux de vie - Patrimoine (Revenus fiscaux localisés des ménages),,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrondissements municipaux,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variables,,Documentation,,,Modifications territoriales,,Découpage géographique au 01/01/2011,,,,,,,,,,,,,,,,,,,,
© Insee,"Source : Insee-DGFiP, Revenus fiscaux localisés des ménages.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RFM 2010 Nombre de ménages fiscaux,RFM 2010 Nombre Personnes des ménages fiscaux,RFM 2010 Part des ménages fiscaux imposés (%),RFM 2010 1er Quartile par UC (¤),RFM 2010 2ème Quartile (Médiane) par UC (¤),RFM 2010 3ème Quartile par UC (¤),RFM 2010 1er Décile par UC (¤),RFM 2010 2ème Décile par UC (¤),RFM 2010 3ème Décile par UC (¤),RFM 2010 4ème Décile par UC (¤),RFM 2010 5ème Décile (Médiane) par UC (¤),RFM 2010 6ème Décile par UC (¤),RFM 2010 7ème Décile par UC (¤),RFM 2010 8ème Décile par UC (¤),RFM 2010 9ème Décile par UC (¤),RFM 2010 Rapport interdéciles par UC (sans unité),RFM 2010 Part des Revenus salariaux (%),"RFM 2010 Part des Pensions, retraites, rentes (%)",RFM 2010 Part des Bénéfices (%),RFM 2010 Part des Autres revenus (%)
CODGEO,REG,DEP,ARR,CV,ZE2010,EPCI,LIBGEO,MENFIS10,PMENFIS10,MENIMP10,QUAR1UC10,QUAR2UC10,QUAR3UC10,DEC1UC10,DEC2UC10,DEC3UC10,DEC4UC10,DEC5UC10,DEC6UC10,DEC7UC10,DEC8UC10,DEC9UC10,RDUC10,PTSA10,PPEN10,PBEN10,PAUT10
13201,93,13,133,1399,9310,241300391,Marseille 1er Arrondissement,16760,35839,"41,1",3822,10330,21057,12,2671,5002,7403,10330,14050,18539,24012,32708,"2725,7","66,7","22,2","6,0","5,1"
13202,93,13,133,1399,9310,241300391,Marseille 2e Arrondissement,10948,23615,"39,4",3962,9803,18845,6,2694,4937,7160,9803,13055,16772,21388,"29067,5","4844,6","64,8","25,4","4,3","5,5"
13203,93,13,133,1399,9310,241300391,Marseille 3e Arrondissement,18834,46608,"31,1",2706,7365,14353,0,1581,3760,5535,7365,9699,12590,16405,22373,,"66,8","28,4","2,0","2,8"
13204,93,13,133,1399,9310,241300391,Marseille 4e Arrondissement,23528,"46510,5","55,1",10426,17400,25103,4084,8761,12031,14840,17400,20243,23327,27328,34288,"8,4","62,1","28,7","4,5","4,7"
13205,93,13,133,1399,9310,241300391,Marseille 5e Arrondissement,22013,"40809,5","54,5",9905,17568,25513,3522,8096,11608,14605,17568,20448,23607,27821,34666,"9,8","65,1","25,8","4,6","4,5"
13206,93,13,133,1399,9310,241300391,Marseille 6e Arrondissement,20701,"39630,5","57,9",10675,19325,30314,4074,8656,12662,15957,19325,23072,27497,33574,44473,"10,9","61,9","21,7","9,3","7,1"
13207,93,13,133,1399,9310,241300391,Marseille 7e Arrondissement,18547,35666,"63,5",14063,22572,34036,7415,12335,15805,19232,22572,26301,31029,38063,52893,"7,1","53,6","24,9","10,9","10,6"
13208,93,13,133,1399,9310,241300391,Marseille 8e Arrondissement,36675,"75510,5","67,7",15675,24286,36559,8991,13833,17455,20852,24286,28368,33225,40588,55408,"6,2","52,0","26,6","10,3","11,1"
13209,93,13,133,1399,9310,241300391,Marseille 9e Arrondissement,31071,"69943,5","65,0",13375,21248,30663,6903,11499,15115,18159,21248,24452,28373,33620,43317,"6,3","59,9","27,0","7,0","6,1"
13210,93,13,133,1399,9310,241300391,Marseille 10e Arrondissement,22765,"51166,5","55,3",10577,17396,24406,4830,8891,12011,14721,17396,20008,22735,26409,32140,"6,7","65,8","26,3","4,7","3,3"
13211,93,13,133,1399,9310,241300391,Marseille 11e Arrondissement,22114,"56922,5","57,5",10846,17894,25794,4835,9093,12408,15199,17894,20653,23887,27974,35445,"7,3","65,7","23,5","6,3","4,4"
13212,93,13,133,1399,9310,241300391,Marseille 12e Arrondissement,25759,58987,"65,4",14453,21881,31199,8472,12777,16034,18932,21881,24883,28772,34328,43823,"5,2","58,0","25,3","9,0","7,7"
13213,93,13,133,1399,9310,241300391,Marseille 13e Arrondissement,33893,88016,"51,1",7204,15284,23750,1778,5604,8849,12171,15284,18399,21775,26085,32855,"18,5","66,4","24,2","5,2","4,2"
13214,93,13,133,1399,9310,241300391,Marseille 14e Arrondissement,21891,59001,"39,8",4239,10546,18299,3,2879,5467,7931,10546,13337,16591,20323,26197,"8732,3","66,8","27,0","3,2","3,1"
13215,93,13,133,1399,9310,241300391,Marseille 15e Arrondissement,27638,"74740,5","35,4",4249,9974,17226,4,3039,5337,7563,9974,12607,15508,19174,24688,"6172,0","65,9","27,8","3,3","3,1"
13216,93,13,133,1399,9310,241300391,Marseille 16e Arrondissement,6890,16942,"49,5",8009,14834,22734,2333,6469,9489,12101,14834,17737,20929,24678,31444,"13,5","64,2","26,7","4,9","4,3"
69381,82,69,691,6999,8214,246900245,Lyon 1er Arrondissement,14224,"27274,5","62,8",12346,20787,31653,5698,10357,14135,17418,20787,24505,28994,34718,46110,"8,1","72,9","15,3","5,4","6,4"
69382,82,69,691,6999,8214,246900245,Lyon 2e Arrondissement,13083,25909,"68,0",15276,24108,37195,8084,13184,17072,20534,24108,28273,33810,42258,58537,"7,2","62,5","18,0","8,0","11,5"
69383,82,69,691,6999,8214,246900245,Lyon 3e Arrondissement,45133,"91132,5","67,6",13815,22494,32800,6801,"11624,5",15704,19102,22494,26040,30254,35876,46083,"6,8","71,2","18,3","5,5","5,1"
69384,82,69,691,6999,8214,246900245,Lyon 4e Arrondissement,17063,"34778,5","68,5",15616,23625,34599,8937,13694,17292,20372,23625,27299,31756,38060,49051,"5,5","66,1","21,2","6,2","6,6"
69385,82,69,691,6999,8214,246900245,Lyon 5e Arrondissement,20487,"42760,5","66,3",14149,21936,32025,7768,12324,15828,18916,21936,25510,29443,35254,45359,"5,8","64,0","24,7","5,6","5,8"
69386,82,69,691,6999,8214,246900245,Lyon 6e Arrondissement,24293,"48459,5","71,3",17067,27676,42202,9180,14844,19249,23444,27676,32621,38569,47032,63261,"6,9","58,9","21,1","8,6","11,4"
69387,82,69,691,6999,8214,246900245,Lyon 7e Arrondissement,31494,"61458,5","65,0",12599,20297,28703,6373,10698,14313,17409,20297,23228,26744,31279,39009,"6,1","73,4","18,4","3,9","4,3"
69388,82,69,691,6999,8214,246900245,Lyon 8e Arrondissement,34838,73027,"58,3",10279,17508,25830,5047,8628,11839,14738,17508,20491,23857,28084,35747,"7,1","70,0","23,5","3,3","3,3"
69389,82,69,691,6999,8214,246900245,Lyon 9e Arrondissement,21182,"46555,5","57,6",9628,17228,25665,4623,8101,11265,14299,17228,20269,23708,28167,35507,"7,7","71,3","21,6","3,5","3,5"
75101,11,75,751,7599,1101,ZZZZZZZZZ,Paris 1er Arrondissement,8937,15954,"74,4",17939,"31880,5",54211,8523,15155,20629,26171,"31880,5",39223,48197,61830,89870,"10,5","61,3","12,9","10,9","14,9"
75102,11,75,751,7599,1101,ZZZZZZZZZ,Paris 2e Arrondissement,11764,"21683,5","71,3",12990,27247,47612,5866,10610,15626,21347,27247,33659,41811,53974,76948,"13,1","74,0","8,4","9,0","8,6"
75103,11,75,751,7599,1101,ZZZZZZZZZ,Paris 3e Arrondissement,18233,"33205,5","72,7",14988,29073,49567,6865,12354,17714,23220,29073,35919,44139,56919,81519,"11,9","69,5","11,2","8,7","10,7"
75104,11,75,751,7599,1101,ZZZZZZZZZ,Paris 4e Arrondissement,14786,26792,"73,2",17044,30359,50834,7667,14353,19778,24770,30359,36877,44693,57572,83164,"10,9","60,5","15,3","9,1","15,0"
75105,11,75,751,7599,1101,ZZZZZZZZZ,Paris 5e Arrondissement,26994,"50643,5","75,2",18972,32208,52444,9078,15992,21588,26753,32208,38746,47051,59355,83442,"9,2","60,0","18,3","9,5","12,2"
75106,11,75,751,7599,1101,ZZZZZZZZZ,Paris 6e Arrondissement,19844,"37329,5","75,9",21289,39206,69418,10469,18069,24568,31612,39206,48848,61107,80179,121349,"11,6","52,3","16,9","10,6","20,2"
75107,11,75,751,7599,1101,ZZZZZZZZZ,Paris 7e Arrondissement,26280,51775,"76,9",22126,41753,77214,10818,18827,25431,"32923,5",41753,52302,67390,90975,150341,"13,9","50,5","14,3","12,2","23,0"
75108,11,75,751,7599,1101,ZZZZZZZZZ,Paris 8e Arrondissement,18728,40571,"76,5",21206,40849,73474,9483,17753,24367,32226,40849,50992,64233,84966,133316,"14,1","57,5","11,0","11,9","19,6"
75109,11,75,751,7599,1101,ZZZZZZZZZ,Paris 9e Arrondissement,30717,60287,"73,5",16562,30934,50463,7134,13513,19308,24947,30934,37482,45636,56775,78697,"11,0","70,2","11,8","8,9","9,2"
75110,11,75,751,7599,1101,ZZZZZZZZZ,Paris 10e Arrondissement,46321,97057,"68,6",10663,22056,37065,5213,8804,12771,17240,22056,27344,33463,41418,55192,"10,6","76,4","11,7","6,1","5,8"
75111,11,75,751,7599,1101,ZZZZZZZZZ,Paris 11e Arrondissement,78655,149072,"70,7",12539,24311,38606,5773,10190,14921,19577,24311,29351,35110,42720,56694,"9,8","72,5","14,5","6,2","6,8"
75112,11,75,751,7599,1101,ZZZZZZZZZ,Paris 12e Arrondissement,69974,"138145,5","75,1",15393,26651,40620,7444,12824,17793,22236,26651,31554,37216,44839,58165,"7,8","69,7","18,3","5,2","6,7"
75113,11,75,751,7599,1101,ZZZZZZZZZ,Paris 13e Arrondissement,82281,"171620,5","69,9",11947,22153,34995,5630,9917,14000,18104,22153,26558,31833,38817,51237,"9,1","69,2","20,8","4,6","5,5"
75114,11,75,751,7599,1101,ZZZZZZZZZ,Paris 14e Arrondissement,65145,"125596,5","74,0",15126,26437,41450,7239,12637,17507,21873,26437,31467,37726,46242,62128,"8,6","66,5","19,4","5,9","8,2"
75115,11,75,751,7599,1101,ZZZZZZZZZ,Paris 15e Arrondissement,115233,219959,"76,4",17550,30183,46673,8348,14741,20135,25080,30183,35836,42554,51766,68509,"8,2","67,4","19,1","5,4","8,0"
75116,11,75,751,7599,1101,ZZZZZZZZZ,Paris 16e Arrondissement,76930,"161107,5","74,5",19831,38800,69214,8891,16464,23285,30541,38800,48621,61155,80209,121400,"13,7","52,5","16,3","10,2","21,0"
75117,11,75,751,7599,1101,ZZZZZZZZZ,Paris 17e Arrondissement,82056,168087,"72,8",14649,28670,49398,6416,11944,17335,22798,28670,35445,44012,56679,82097,"12,8","65,9","14,6","8,3","11,1"
75118,11,75,751,7599,1101,ZZZZZZZZZ,Paris 18e Arrondissement,95632,193946,"65,0",8829,18402,31605,4202,7318,10440,14162,18402,23071,28480,35320,46915,"11,2","74,1","15,2","5,3","5,5"
75119,11,75,751,7599,1101,ZZZZZZZZZ,Paris 19e Arrondissement,81907,199136,"63,2",8469,16423,"28336,5",4347,7173,9871,12920,16423,20656,25496,31787,42148,"9,7","72,4","17,5","5,0","5,1"
75120,11,75,751,7599,1101,ZZZZZZZZZ,Paris 20e Arrondissement,91869,"202798,5","66,1",9261,18512,30488,4530,7729,10860,14507,18512,22846,27614,33886,44063,"9,7","73,4","17,7","4,4","4,5"
